Subject_name,Subject_display,Type,Validation,a,k
Aboriginal and Torres Strait Islander Studies,Aboriginal and Torres Strait Islander Studies,General,0 - 100,0.08274855,-6.28420352
Accounting,Accounting,General,0 - 100,0.063795099,-3.381096653
Aerospace Systems,Aerospace Systems,General,0 - 100,0.061689201,-3.446595214
Agricultural Science,Agricultural Science,General,0 - 100,0.077284693,-5.613127038
Ancient History,Ancient History,General,0 - 100,0.065888775,-3.960126497
Arabic,Arabic*,General,0 - 100,0.065888775,-3.960126497
Biology,Biology,General,0 - 100,0.081016734,-5.312577527
Business,Business,General,0 - 100,0.055358507,-3.22559367
Chemistry,Chemistry,General,0 - 100,0.117133544,-7.708461414
Chinese,Chinese,General,0 - 100,0.05668217,-3.294965175
Chinese Extension,Chinese Extension*,General,0 - 100,0.065888775,-3.960126497
Dance,Dance,General,0 - 100,0.055736279,-4.252603762
Design,Design,General,0 - 100,0.048981896,-2.904171018
Digital Solutions,Digital Solutions,General,0 - 100,0.065226288,-3.611406174
Drama,Drama,General,0 - 100,0.062146498,-4.304764082
Earth and Environmental Science,Earth and Environmental Science,General,0 - 100,0.087891772,-6.182699872
Economics,Economics,General,0 - 100,0.08409859,-4.640507704
Engineering,Engineering,General,0 - 100,0.078481683,-4.095619189
English,English,General,0 - 100,0.066188346,-3.782960769
English and Literature Extension,English and Literature Extension,General,0 - 100,0.075571084,-4.35091742
English as an Additional Language,English as an Additional Language,General,0 - 100,0.08196862,-4.828148518
Film Television and New Media,Film Television and New Media,General,0 - 100,0.052376453,-3.561088723
Food and Nutrition,Food and Nutrition,General,0 - 100,0.047762427,-2.867283885
French,French,General,0 - 100,0.092100842,-4.848103285
French Extension,French Extension*,General,0 - 100,0.065888775,-3.960126497
General Mathematics,General Mathematics,General,0 - 100,0.050710373,-3.023021773
Geography,Geography,General,0 - 100,0.064989497,-3.589970887
German,German,General,0 - 100,0.096785251,-5.567327847
German Extension,German Extension*,General,0 - 100,0.065888775,-3.960126497
Health,Health,General,0 - 100,0.051845179,-3.129172038
Indonesian,Indonesian*,General,0 - 100,0.065888775,-3.960126497
Italian,Italian,General,0 - 100,0.072080558,-3.790274755
Japanese,Japanese,General,0 - 100,0.066149193,-3.467814248
Korean,Korean,General,0 - 100,0.05273385,-2.612485074
Latin,Latin*,General,0 - 100,0.065888775,-3.960126497
Legal Studies,Legal Studies,General,0 - 100,0.05478122,-2.932358486
Literature,Literature,General,0 - 100,0.081058953,-4.79429551
Marine Science,Marine Science,General,0 - 100,0.075689144,-5.027097199
Mathematical Methods,Mathematical Methods,General,0 - 100,0.071542875,-3.422011377
Modern Greek,Modern Greek*,General,0 - 100,0.065888775,-3.960126497
Modern History,Modern History,General,0 - 100,0.069600206,-4.204724001
Music,Music,General,0 - 100,0.061277587,-4.130296116
Music Extension (Composition),Music Extension (Composition),General,0 - 100,0.059326758,-4.030832616
Music Extension (Musicology),Music Extension (Musicology)*,General,0 - 100,0.065888775,-3.960126497
Music Extension (Performance),Music Extension (Performance),General,0 - 100,0.062775326,-4.628844611
Philosophy and Reason,Philosophy and Reason,General,0 - 100,0.075142173,-4.051662085
Physical Education,Physical Education,General,0 - 100,0.053689875,-3.416919692
Physics,Physics,General,0 - 100,0.11129837,-7.192188767
Polish,Polish*,General,0 - 100,0.065888775,-3.960126497
Psychology,Psychology,General,0 - 100,0.076636994,-5.211015199
Punjabi,Punjabi*,General,0 - 100,0.065888775,-3.960126497
Russian,Russian*,General,0 - 100,0.065888775,-3.960126497
Spanish,Spanish,General,0 - 100,0.063111727,-3.374256446
Specialist Mathematics,Specialist Mathematics,General,0 - 100,0.091682298,-4.59078111
Study of Religion,Study of Religion,General,0 - 100,0.070771726,-4.136702979
Tamil,Tamil*,General,0 - 100,0.065888775,-3.960126497
Vietnamese,Vietnamese,General,0 - 100,0.058978688,-3.829763075
Visual Art,Visual Art,General,0 - 100,0.049845975,-3.036522449
Agricultural Practices,Agricultural Practices,Applied,A - E,null,null
Aquatic Practices,Aquatic Practices,Applied,A - E,null,null
Arts in Practice,Arts in Practice,Applied,A - E,null,null
Building and Construction Skills,Building and Construction Skills,Applied,A - E,null,null
Business Studies,Business Studies,Applied,A - E,null,null
Dance in Practice,Dance in Practice,Applied,A - E,null,null
Drama in Practice,Drama in Practice,Applied,A - E,null,null
Early Childhood Studies,Early Childhood Studies,Applied,A - E,null,null
Engineering Skills,Engineering Skills,Applied,A - E,null,null
Essential English,Essential English,Applied,A - E,null,null
Essential Mathematics,Essential Mathematics,Applied,A - E,null,null
Fashion,Fashion,Applied,A - E,null,null
Furnishing Skills,Furnishing Skills,Applied,A - E,null,null
Hospitality Practices,Hospitality Practices,Applied,A - E,null,null
Industrial Graphics Skills,Industrial Graphics Skills,Applied,A - E,null,null
Industrial Technology Skills,Industrial Technology Skills,Applied,A - E,null,null
Information and Communication Technology,Information and Communication Technology,Applied,A - E,null,null
Media Arts in Practice,Media Arts in Practice,Applied,A - E,null,null
Music in Practice,Music in Practice,Applied,A - E,null,null
Religion and Ethics,Religion and Ethics,Applied,A - E,null,null
Science in Practice,Science in Practice,Applied,A - E,null,null
Social & Community Studies,Social & Community Studies,Applied,A - E,null,null
Sport and Recreation,Sport and Recreation,Applied,A - E,null,null
Tourism,Tourism,Applied,A - E,null,null
Visual Arts in Practice,Visual Arts in Practice,Applied,A - E,null,null
Certificate III,Certificate III,VET,Pass,null,null
Certificate IV,Certificate IV,VET,Pass,null,null
Diploma,Diploma,VET,Pass,null,null
Advanced Diploma,Advanced Diploma,VET,Pass,null,null
